operador,servicio,tecnologia_de_acceso,concepto,id,trimestre,tipo_de_trafico,tipo_de_contrato,frecuencia,lineas_o_accesos,estaciones_base,trafico_de_datos,nodos_radio
Otros,Banda Ancha móvil,4G/4.5G,Líneas,6088,2022T3,N/A,Pospago,N/A,47149461.0,0.0,0.0,0.0
Otros,Banda Ancha móvil,4G/4.5G,Tráfico - datos,3231,2022T3,Nacional,N/A,N/A,0.0,0.0,2108200.5300000003,0.0
Otros,Banda Ancha móvil,5G,Líneas,4418,2024T1,N/A,Pospago,N/A,4092447.0,0.0,0.0,0.0
Otros,Banda Ancha móvil,5G,Tráfico - datos,2289,2024T1,Nacional,N/A,N/A,0.0,0.0,196600.96000000002,0.0
Otros,Banda Ancha móvil,Resto tecnologías,Tráfico - datos,3247,2022T3,Nacional,N/A,N/A,0.0,0.0,104945.75,0.0
Grupo MASMOVIL,Banda Ancha móvil,4G/4.5G,Líneas,2394,2022T3,N/A,Pospago,N/A,73461592.0,0.0,0.0,0.0
Grupo MASMOVIL,Banda Ancha móvil,4G/4.5G,Tráfico - datos,1319,2022T3,Nacional,N/A,N/A,0.0,0.0,2352506.19,0.0
Grupo MASMOVIL,Banda Ancha móvil,5G,Líneas,2054,2022T3,N/A,Pospago,N/A,11471769.0,0.0,0.0,0.0
Grupo MASMOVIL,Banda Ancha móvil,5G,Tráfico - datos,1326,2022T3,Nacional,N/A,N/A,0.0,0.0,116864.91,0.0
Grupo MASMOVIL,Banda Ancha móvil,Resto tecnologías,Tráfico - datos,1333,2022T3,Nacional,N/A,N/A,0.0,0.0,281746.79,0.0
Grupo MASMOVIL,Red de distribución,4G/4.5G,Estaciones Base,1417,2022T3,N/A,N/A,N/A,0.0,37174.0,0.0,0.0
Grupo MASMOVIL,Red de distribución,5G,Estaciones Base,1424,2022T3,N/A,N/A,N/A,0.0,741.0,0.0,0.0
Grupo MASMOVIL,Red de distribución,5G,Nodos,1506,2022T3,N/A,N/A,3.5 GHz,0.0,0.0,0.0,741.0
