operador,servicio,id,mes,pais,concepto,segmento,tecnologia_de_acceso,contrato,terminal_de_telefonia_movil,linea_ba_movil,tipo_de_ba_mayorista,tipo_de_portabilidad,unidades,lineas,tasa_de_penetracion,portabilidades
Digi,Banda Ancha móvil,2301663,2016-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,304061066.0,633.0,0.0
Digi,Banda ancha fija minorista,931729,2018-09,España,Líneas,nan,FTTH,nan,nan,nan,nan,nan,Unidades,62954647.0,130.3,0.0
Digi,Telefonía fija,934206,2018-09,España,Líneas,Residencial,nan,nan,nan,nan,nan,nan,Unidades,20655016.0,42.7,0.0
Digi,Telefonía móvil,5123597,2009-11,España,Portabilidades,nan,nan,nan,nan,nan,nan,Importados,Unidades,324530732.0,676.4,7700438.0
Otros,Banda ancha fija minorista,3189762,2007-01,España,Líneas,nan,HFC,nan,nan,nan,nan,nan,Unidades,64828111.0,135.0,0.0
Otros,Telefonía fija,1654309,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,91252995.0,195.8,0.0
Grupo MASMOVIL,Banda Ancha móvil,1758314,2016-10,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,611600500.0,1291.5,0.0
Grupo MASMOVIL,Banda ancha fija minorista,2521738,2016-10,España,Líneas,nan,FTTH,nan,nan,nan,nan,nan,Unidades,162094360.0,340.8,0.0
Grupo MASMOVIL,Telefonía fija,1741389,2016-10,España,Líneas,Residencial,nan,nan,nan,nan,nan,nan,Unidades,143448941.0,303.1,0.0
Grupo MASMOVIL,Telefonía móvil,3527320,2016-10,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,775646980.0,1636.4,21438454.0
Otros,Banda ancha fija minorista,240187,2013-12,España,Líneas,nan,FTTH,nan,nan,nan,nan,nan,Unidades,28852400.0,62.2,0.0
Otros,Telefonía fija,501733,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,102149828.0,221.0,0.0
MASORANGE,Banda Ancha móvil,437276,2024-04,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,350123552.0,717.1999999999999,0.0
MASORANGE,Banda ancha fija minorista,845363,2024-04,España,Líneas,nan,FTTH,nan,nan,nan,nan,nan,Unidades,113312289.0,232.1,0.0
MASORANGE,Telefonía fija,437552,2024-04,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,100268454.0,205.9,0.0
MASORANGE,Telefonía móvil,876116,2024-04,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,410496357.0,840.9,6375935.0
Movistar,Banda Ancha móvil,2426443,2015-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,1664359760.0,3515.4,0.0
Movistar,Banda ancha fija minorista,4506552,2007-01,España,Líneas,nan,xDSL,nan,nan,nan,nan,nan,Unidades,1255058192.0,2675.8,0.0
Movistar,Telefonía fija,2861655,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,2432183144.0,5214.8,0.0
Movistar,Telefonía móvil,5738498,2007-01,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,3983488977.0,8522.8,51223341.0
Otros,Banda Ancha móvil,1360462,2015-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,188224748.0,400.2,0.0
Otros,Telefonía móvil,4671955,2007-01,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,569371598.0,1219.4,19063697.0
Otros,Banda ancha fija minorista,212996,2007-01,España,Líneas,nan,HFC,nan,nan,nan,nan,nan,Unidades,126828930.0,273.40000000000003,0.0
Otros,Telefonía fija,377772,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,187593527.0,406.9,0.0
Orange,Banda Ancha móvil,1990085,2015-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,1219504344.0,2590.1,0.0
Orange,Banda ancha fija minorista,3854688,2014-01,España,Líneas,nan,xDSL,nan,nan,nan,nan,nan,Unidades,442354468.0,939.8,0.0
Orange,Telefonía fija,2425227,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,498846571.0,1061.4,0.0
Orange,Telefonía móvil,4865846,2007-01,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,2513762989.0,5381.7,49364018.0
Otros,Banda ancha fija minorista,3893432,2007-01,España,Líneas,nan,HFC,nan,nan,nan,nan,nan,Unidades,292384643.0,624.3,0.0
Otros,Telefonía fija,1299591,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,48751933.0,104.5,0.0
Otros,Banda Ancha móvil,2427985,2015-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,1411103301.0,2982.0,0.0
Otros,Banda ancha fija minorista,4150679,2014-01,España,Líneas,nan,xDSL,nan,nan,nan,nan,nan,Unidades,409277713.0,867.7,0.0
Otros,Telefonía fija,2864315,2007-01,España,Líneas,Negocios,nan,nan,nan,nan,nan,nan,Unidades,625710457.0,1329.9,0.0
Otros,Telefonía móvil,5743990,2007-01,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,2983369307.0,6378.4,55194467.0
Otros,Banda Ancha móvil,230807,2015-01,España,Líneas,nan,nan,Pospago,nan,Líneas de voz y datos,nan,nan,Unidades,63291820.0,136.1,0.0
Otros,Telefonía móvil,1337925,2007-01,España,Líneas,nan,nan,Pospago,Sin tipo de terminal,nan,nan,nan,Unidades,261473773.0,561.6,8600343.0
Otros,Banda Ancha móvil,1400488,2010-01,España,Líneas,nan,nan,nan,nan,Líneas exclusivas de datos,nan,nan,Unidades,330362449.0,705.1,0.0
Otros,Banda ancha fija mayorista,11942660,2007-01,España,Líneas,nan,nan,nan,nan,nan,Bucle compartido,nan,Unidades,906075031.0,0.0,0.0
