periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion
2007-01-01,Albacete,Castilla - La Mancha,Otros,nan,Banda ancha fija,2,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,829.0,0.0,0.2
2007-01-01,Albacete,Castilla - La Mancha,Otros,nan,Telefonía fija,15,2007,Líneas,nan,nan,nan,Unidades,767.0,0.0,0.2
2007-01-01,Albacete,Castilla - La Mancha,Movistar,nan,Banda ancha fija,3,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,19840.0,0.0,5.1
2007-01-01,Albacete,Castilla - La Mancha,Movistar,nan,Telefonía fija,16,2007,Líneas,nan,nan,nan,Unidades,98715.0,0.0,25.4
2007-01-01,Albacete,Castilla - La Mancha,Movistar,nan,Telefonía móvil,21,2007,Líneas,nan,nan,nan,Unidades,89429.0,0.0,23.0
2007-01-01,Albacete,Castilla - La Mancha,Otros,nan,Banda ancha fija,4,2007,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,25219.0,0.0,6.5
2007-01-01,Albacete,Castilla - La Mancha,Otros,nan,Telefonía fija,17,2007,Líneas,nan,nan,nan,Unidades,36232.0,0.0,9.3
2007-01-01,Albacete,Castilla - La Mancha,Orange,nan,Banda ancha fija,5,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,4021.0,0.0,1.0
2007-01-01,Albacete,Castilla - La Mancha,Orange,nan,Telefonía fija,18,2007,Líneas,nan,nan,nan,Unidades,392.0,0.0,0.1
2007-01-01,Albacete,Castilla - La Mancha,Orange,nan,Telefonía móvil,22,2007,Líneas,nan,nan,nan,Unidades,47032.0,0.0,12.1
2007-01-01,Albacete,Castilla - La Mancha,Otros,nan,Banda ancha fija,6,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,1.0,0.0,0.0
2007-01-01,Albacete,Castilla - La Mancha,Resto,nan,Banda ancha fija,24,6021,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,3208.0,0.0,0.8
2007-01-01,Albacete,Castilla - La Mancha,Resto,nan,Telefonía fija,19,2007,Líneas,nan,nan,nan,Unidades,2517.0,0.0,0.6
2007-01-01,Albacete,Castilla - La Mancha,Resto,nan,Telefonía móvil,23,2007,Líneas,nan,nan,nan,Unidades,1499.0,0.0,0.4
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,nan,Banda ancha fija,10,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,1554.0,0.0,0.4
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,nan,Telefonía fija,20,2007,Líneas,nan,nan,nan,Unidades,1967.0,0.0,0.5
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,nan,Telefonía móvil,24,2007,Líneas,nan,nan,nan,Unidades,93572.0,0.0,24.0
2007-01-01,Albacete,Castilla - La Mancha,nan,Accesos instalados FTTH y FTTN,Accesos instalados,1,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,3249.0,0.0,0.8
2007-01-01,Albacete,Castilla - La Mancha,nan,nan,Estaciones Base,36,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,559.0,0.0
2007-01-01,Albacete,Castilla - La Mancha,nan,nan,Servicios audiovisuales,14,2007,Abonados,nan,nan,nan,Unidades,36720.0,0.0,9.4
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,nan,Banda ancha fija,53,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,6984.0,0.0,0.4
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,nan,Telefonía fija,41,2007,Líneas,nan,nan,nan,Unidades,5528.0,0.0,0.3
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Movistar,nan,Banda ancha fija,28,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,159411.0,0.0,9.0
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Movistar,nan,Telefonía fija,42,2007,Líneas,nan,nan,nan,Unidades,607378.0,0.0,34.4
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Movistar,nan,Telefonía móvil,47,2007,Líneas,nan,nan,nan,Unidades,413421.0,0.0,23.4
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,nan,Banda ancha fija,59,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,71456.0,0.0,4.0
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,nan,Telefonía fija,43,2007,Líneas,nan,nan,nan,Unidades,110990.0,0.0,6.3
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Orange,nan,Banda ancha fija,31,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,32285.0,0.0,1.8
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Orange,nan,Telefonía fija,44,2007,Líneas,nan,nan,nan,Unidades,2884.0,0.0,0.2
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Orange,nan,Telefonía móvil,48,2007,Líneas,nan,nan,nan,Unidades,207507.0,0.0,11.7
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,nan,Banda ancha fija,32,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,8.0,0.0,0.0
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Resto,nan,Banda ancha fija,102,6021,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,14175.0,0.0,0.8
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Resto,nan,Telefonía fija,45,2007,Líneas,nan,nan,nan,Unidades,7192.0,0.0,0.4
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Resto,nan,Telefonía móvil,49,2007,Líneas,nan,nan,nan,Unidades,11245.0,0.0,0.6
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Vodafone,nan,Banda ancha fija,36,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,12708.0,0.0,0.7
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Vodafone,nan,Telefonía fija,46,2007,Líneas,nan,nan,nan,Unidades,16043.0,0.0,0.9
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Vodafone,nan,Telefonía móvil,50,2007,Líneas,nan,nan,nan,Unidades,313406.0,0.0,17.7
2007-01-01,Alicante/Alacant,Comunitat Valenciana,nan,Accesos instalados FTTH y FTTN,Accesos instalados,25,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,16554.0,0.0,0.9
2007-01-01,Alicante/Alacant,Comunitat Valenciana,nan,nan,Estaciones Base,114,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,2330.0,0.0
2007-01-01,Alicante/Alacant,Comunitat Valenciana,nan,nan,Servicios audiovisuales,40,2007,Abonados,nan,nan,nan,Unidades,181605.0,0.0,10.3
2007-01-01,Almería,Andalucía,Otros,nan,Banda ancha fija,105,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,6097.0,0.0,0.9
2007-01-01,Almería,Andalucía,Otros,nan,Telefonía fija,67,2007,Líneas,nan,nan,nan,Unidades,4799.0,0.0,0.7
2007-01-01,Almería,Andalucía,Movistar,nan,Banda ancha fija,54,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,57031.0,0.0,8.9
2007-01-01,Almería,Andalucía,Movistar,nan,Telefonía fija,68,2007,Líneas,nan,nan,nan,Unidades,192591.0,0.0,30.0
2007-01-01,Almería,Andalucía,Movistar,nan,Telefonía móvil,73,2007,Líneas,nan,nan,nan,Unidades,142493.0,0.0,22.2
2007-01-01,Almería,Andalucía,Otros,nan,Banda ancha fija,111,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,15449.0,0.0,2.4
2007-01-01,Almería,Andalucía,Otros,nan,Telefonía fija,69,2007,Líneas,nan,nan,nan,Unidades,18021.0,0.0,2.8
2007-01-01,Almería,Andalucía,Orange,nan,Banda ancha fija,57,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,11107.0,0.0,1.7
2007-01-01,Almería,Andalucía,Orange,nan,Telefonía fija,70,2007,Líneas,nan,nan,nan,Unidades,661.0,0.0,0.1
2007-01-01,Almería,Andalucía,Orange,nan,Telefonía móvil,74,2007,Líneas,nan,nan,nan,Unidades,79491.0,0.0,12.4
2007-01-01,Almería,Andalucía,Otros,nan,Banda ancha fija,58,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,3.0,0.0,0.0
2007-01-01,Almería,Andalucía,Resto,nan,Banda ancha fija,180,6021,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,2029.0,0.0,0.30000000000000004
2007-01-01,Almería,Andalucía,Resto,nan,Telefonía fija,71,2007,Líneas,nan,nan,nan,Unidades,6547.0,0.0,1.0
2007-01-01,Almería,Andalucía,Resto,nan,Telefonía móvil,75,2007,Líneas,nan,nan,nan,Unidades,3528.0,0.0,0.5
2007-01-01,Almería,Andalucía,Vodafone,nan,Banda ancha fija,62,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,2245.0,0.0,0.3
2007-01-01,Almería,Andalucía,Vodafone,nan,Telefonía fija,72,2007,Líneas,nan,nan,nan,Unidades,2881.0,0.0,0.4
2007-01-01,Almería,Andalucía,Vodafone,nan,Telefonía móvil,76,2007,Líneas,nan,nan,nan,Unidades,150988.0,0.0,23.5
2007-01-01,Almería,Andalucía,nan,Accesos instalados FTTH y FTTN,Accesos instalados,51,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,7843.0,0.0,1.2
2007-01-01,Almería,Andalucía,nan,nan,Estaciones Base,192,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,880.0,0.0
2007-01-01,Almería,Andalucía,nan,nan,Servicios audiovisuales,66,2007,Abonados,nan,nan,nan,Unidades,41366.0,0.0,6.4
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Banda ancha fija,237,6021,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,19040.0,0.0,6.2
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Telefonía fija,92,2007,Líneas,nan,nan,nan,Unidades,30902.0,0.0,10.1
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Banda ancha fija,81,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,1266.0,0.0,0.4
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Telefonía fija,93,2007,Líneas,nan,nan,nan,Unidades,1004.0,0.0,0.3
2007-01-01,Araba/Álava,País Vasco,Movistar,nan,Banda ancha fija,82,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,25011.0,0.0,8.2
2007-01-01,Araba/Álava,País Vasco,Movistar,nan,Telefonía fija,94,2007,Líneas,nan,nan,nan,Unidades,110814.0,0.0,36.2
2007-01-01,Araba/Álava,País Vasco,Movistar,nan,Telefonía móvil,99,2007,Líneas,nan,nan,nan,Unidades,86381.0,0.0,28.2
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Telefonía fija,95,2007,Líneas,nan,nan,nan,Unidades,208.0,0.0,0.1
2007-01-01,Araba/Álava,País Vasco,Orange,nan,Banda ancha fija,83,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,10076.0,0.0,3.3
2007-01-01,Araba/Álava,País Vasco,Orange,nan,Telefonía fija,96,2007,Líneas,nan,nan,nan,Unidades,975.0,0.0,0.3
2007-01-01,Araba/Álava,País Vasco,Orange,nan,Telefonía móvil,100,2007,Líneas,nan,nan,nan,Unidades,18228.0,0.0,5.9
2007-01-01,Araba/Álava,País Vasco,Otros,nan,Banda ancha fija,84,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,2.0,0.0,0.0
2007-01-01,Araba/Álava,País Vasco,Resto,nan,Banda ancha fija,171,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,347.0,0.0,0.1
2007-01-01,Araba/Álava,País Vasco,Resto,nan,Telefonía fija,97,2007,Líneas,nan,nan,nan,Unidades,766.0,0.0,0.2
2007-01-01,Araba/Álava,País Vasco,Resto,nan,Telefonía móvil,101,2007,Líneas,nan,nan,nan,Unidades,24064.0,0.0,7.9
2007-01-01,Araba/Álava,País Vasco,Vodafone,nan,Banda ancha fija,87,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,2945.0,0.0,1.0
2007-01-01,Araba/Álava,País Vasco,Vodafone,nan,Telefonía fija,98,2007,Líneas,nan,nan,nan,Unidades,3654.0,0.0,1.2
2007-01-01,Araba/Álava,País Vasco,Vodafone,nan,Telefonía móvil,102,2007,Líneas,nan,nan,nan,Unidades,41033.0,0.0,13.4
2007-01-01,Araba/Álava,País Vasco,nan,Accesos instalados FTTH y FTTN,Accesos instalados,77,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,1806.0,0.0,0.6
2007-01-01,Araba/Álava,País Vasco,nan,nan,Estaciones Base,267,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,534.0,0.0
2007-01-01,Araba/Álava,País Vasco,nan,nan,Servicios audiovisuales,91,2007,Abonados,nan,nan,nan,Unidades,18327.0,0.0,6.0
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Banda ancha fija,104,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,2768.0,0.0,0.3
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Telefonía fija,118,2007,Líneas,nan,nan,nan,Unidades,2184.0,0.0,0.2
2007-01-01,Asturias,Asturias. Principado de,Movistar,nan,Banda ancha fija,105,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,78355.0,0.0,7.4
2007-01-01,Asturias,Asturias. Principado de,Movistar,nan,Telefonía fija,119,2007,Líneas,nan,nan,nan,Unidades,359711.0,0.0,33.8
2007-01-01,Asturias,Asturias. Principado de,Movistar,nan,Telefonía móvil,125,2007,Líneas,nan,nan,nan,Unidades,251794.0,0.0,23.6
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Banda ancha fija,213,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,1497.0,0.0,0.1
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Telefonía fija,120,2007,Líneas,nan,nan,nan,Unidades,3390.0,0.0,0.3
2007-01-01,Asturias,Asturias. Principado de,Orange,nan,Banda ancha fija,108,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,16683.0,0.0,1.6
2007-01-01,Asturias,Asturias. Principado de,Orange,nan,Telefonía fija,121,2007,Líneas,nan,nan,nan,Unidades,1945.0,0.0,0.2
2007-01-01,Asturias,Asturias. Principado de,Orange,nan,Telefonía móvil,126,2007,Líneas,nan,nan,nan,Unidades,113431.0,0.0,10.6
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Banda ancha fija,109,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,20.0,0.0,0.0
2007-01-01,Asturias,Asturias. Principado de,Resto,nan,Banda ancha fija,221,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,785.0,0.0,0.1
2007-01-01,Asturias,Asturias. Principado de,Resto,nan,Telefonía fija,122,2007,Líneas,nan,nan,nan,Unidades,1150.0,0.0,0.1
2007-01-01,Asturias,Asturias. Principado de,Resto,nan,Telefonía móvil,127,2007,Líneas,nan,nan,nan,Unidades,3926.0,0.0,0.4
2007-01-01,Asturias,Asturias. Principado de,Otros,nan,Banda ancha fija,112,2007,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,83794.0,0.0,7.9
