anio,fecha,operador,mercado,servicio,tipo_de_ingreso,ingresos,id,pais,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
2010,2010-01-01,Otros,nan,Datos generales,nan,0,401,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,0.3,0.0
2010,2010-01-01,Otros,nan,Datos generales,nan,0,392,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,38.03
10050,2010-01-01,Otros,nan,Datos generales,nan,0,2063,España,Gastos de explotación,nan,Millones de euros,29.520000000000003,340,0.0,0.16,0.03
2010,2010-01-01,Otros,nan,Datos generales,nan,0,403,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,45.43,0.0
8040,2010-01-01,Otros,nan,Datos generales,nan,0,1646,España,Gastos de explotación,nan,Millones de euros,11.14,310,0.0,2.12,0.88
2010,2010-01-01,Otros,nan,Datos generales,nan,0,394,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,18.93
2010,2010-01-01,Otros,nan,Datos generales,nan,0,405,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,128.39,0.0
10050,2010-01-01,Movistar,nan,Datos generales,nan,0,2076,España,Gastos de explotación,nan,Millones de euros,19347.22,322170,0.0,1994.32,322.65
4020,2010-01-01,Otros,nan,Datos generales,nan,0,810,España,Gastos de explotación,nan,Millones de euros,0.0,30820,0.0,0.0,42.95
10050,2010-01-01,Orange,nan,Datos generales,nan,0,2100,España,Gastos de explotación,nan,Millones de euros,3847.87,30710,0.0,402.06,95.07
4020,2010-01-01,Otros,nan,Datos generales,nan,0,826,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,64100,0.0,97.98,0.0
10050,2010-01-01,Resto,nan,Datos generales,nan,0,2105,España,Gastos de explotación,nan,Millones de euros,10398.33,268150,0.0,1120.74,141.46
2010,2010-01-01,Otros,nan,Datos generales,nan,0,418,España,Número de empleados,nan,Unidades,0.0,17160,0.0,0.0,0.0
10050,2010-01-01,Vodafone,nan,Datos generales,nan,0,2113,España,Gastos de explotación,nan,Millones de euros,6097.8,44210,0.0,674.72,180.16
2010,2010-01-01,Otros,nan,Datos generales,nan,0,400,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,13.9
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Alquiler de circuitos,73066,425,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Banda Ancha móvil,168766,440,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Banda ancha fija,401028,439,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Banda ancha fija mayorista,45463,426,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Comunicaciones de Empresa,150898,441,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Contenidos audiovisuales,1815,427,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Interconexión fija,169387,428,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Interconexión móvil,265831,429,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Otros servicios mayoristas,51725,430,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Otros servicios minoristas,15721,442,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Servicios audiovisuales,43895,443,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Servicios de información telefónica,7456,444,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Telefonía fija,584716,445,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Telefonía móvil,1234863,446,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Transmisión de datos,4121,431,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio mayorista,Datos generales,Transporte y difusión de la señal audiovisual,39499,432,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2010,2010-01-01,Nan,Servicio minorista,Datos generales,Venta y alquiler de terminales,178394,447,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
6030,2010-01-01,Nan,nan,Datos generales,nan,0,1263,España,Paquetes,Resto,Unidades,0.0,0,10041066.0,0.0,0.0
2011,2011-01-01,Otros,nan,Datos generales,nan,0,461,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,0.35,0.0
2011,2011-01-01,Otros,nan,Datos generales,nan,0,452,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,31.23
10055,2011-01-01,Otros,nan,Datos generales,nan,0,2363,España,Gastos de explotación,nan,Millones de euros,49.79,520,0.0,0.07,0.03
2011,2011-01-01,Otros,nan,Datos generales,nan,0,463,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,59.71,0.0
8044,2011-01-01,Otros,nan,Datos generales,nan,0,1886,España,Gastos de explotación,nan,Millones de euros,13.36,390,0.0,2.44,1.2
2011,2011-01-01,Otros,nan,Datos generales,nan,0,454,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,20.7
2011,2011-01-01,Otros,nan,Datos generales,nan,0,465,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,230.02,0.0
