operador,servicio,id,mes,pais,concepto,segmento,tecnologia_de_acceso,contrato,terminal_de_telefonia_movil,linea_ba_movil,tipo_de_ba_mayorista,tipo_de_portabilidad,unidades,lineas,tasa_de_penetracion,portabilidades,periodo,key_periodo_operador_servicio,cuota_lineas,hhi_lineas
Digi,Banda Ancha móvil,2301663,2016-01,España,Líneas,,,Pospago,,Líneas de voz y datos,,,,304061066.0,633.0,0.0,2016-01-31,2016-01-31|Digi|Banda Ancha móvil,1.0,1.0
Digi,Banda ancha fija minorista,931729,2018-09,España,Líneas,,FTTH,,,,,,,62954647.0,130.3,0.0,2018-09-30,2018-09-30|Digi|Banda ancha fija minorista,1.0,1.0
Digi,Telefonía fija,934206,2018-09,España,Líneas,Residencial,,,,,,,,20655016.0,42.7,0.0,2018-09-30,2018-09-30|Digi|Telefonía fija,1.0,1.0
Digi,Telefonía móvil,5123597,2009-11,España,Portabilidades,,,,,,,Importados,,324530732.0,676.4,7700438.0,2009-11-30,2009-11-30|Digi|Telefonía móvil,1.0,1.0
Otros,Banda ancha fija minorista,3189762,2007-01,España,Líneas,,HFC,,,,,,,64828111.0,135.0,0.0,2007-01-31,2007-01-31|Otros|Banda ancha fija minorista,0.03727681882716666,0.555782999110095
Otros,Telefonía fija,1654309,2007-01,España,Líneas,Negocios,,,,,,,,91252995.0,195.8,0.0,2007-01-31,2007-01-31|Otros|Telefonía fija,0.022890570493324054,0.41606900150785403
Grupo Masmovil,Banda Ancha móvil,1758314,2016-10,España,Líneas,,,Pospago,,Líneas de voz y datos,,,,611600500.0,1291.5,0.0,2016-10-31,2016-10-31|Grupo Masmovil|Banda Ancha móvil,1.0,1.0
Grupo Masmovil,Banda ancha fija minorista,2521738,2016-10,España,Líneas,,FTTH,,,,,,,162094360.0,340.8,0.0,2016-10-31,2016-10-31|Grupo Masmovil|Banda ancha fija minorista,1.0,1.0
Grupo Masmovil,Telefonía fija,1741389,2016-10,España,Líneas,Residencial,,,,,,,,143448941.0,303.1,0.0,2016-10-31,2016-10-31|Grupo Masmovil|Telefonía fija,1.0,1.0
Grupo Masmovil,Telefonía móvil,3527320,2016-10,España,Líneas,,,Pospago,Sin tipo de terminal,,,,,775646980.0,1636.4,21438454.0,2016-10-31,2016-10-31|Grupo Masmovil|Telefonía móvil,1.0,1.0
Otros,Banda ancha fija minorista,240187,2013-12,España,Líneas,,FTTH,,,,,,,28852400.0,62.2,0.0,2013-12-31,2013-12-31|Otros|Banda ancha fija minorista,1.0,1.0
Otros,Telefonía fija,501733,2007-01,España,Líneas,Negocios,,,,,,,,102149828.0,221.0,0.0,2007-01-31,2007-01-31|Otros|Telefonía fija,0.025624011997797194,0.41606900150785403
Masorange,Banda Ancha móvil,437276,2024-04,España,Líneas,,,Pospago,,Líneas de voz y datos,,,,350123552.0,717.1999999999999,0.0,2024-04-30,2024-04-30|Masorange|Banda Ancha móvil,1.0,1.0
Masorange,Banda ancha fija minorista,845363,2024-04,España,Líneas,,FTTH,,,,,,,113312289.0,232.1,0.0,2024-04-30,2024-04-30|Masorange|Banda ancha fija minorista,1.0,1.0
Masorange,Telefonía fija,437552,2024-04,España,Líneas,Negocios,,,,,,,,100268454.0,205.9,0.0,2024-04-30,2024-04-30|Masorange|Telefonía fija,1.0,1.0
