periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion,anio,key_periodo_operador_servicio
2007-01-01,Albacete,Castilla - La Mancha,Otros,,Banda ancha fija,2,2007,Líneas,Líneas banda ancha xDSL,,,,829.0,0.0,0.2,2007,2007-01-01|Otros|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Otros,,Telefonía fija,15,2007,Líneas,,,,,767.0,0.0,0.2,2007,2007-01-01|Otros|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Movistar,,Banda ancha fija,3,2007,Líneas,Líneas banda ancha xDSL,,,,19840.0,0.0,5.1,2007,2007-01-01|Movistar|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Movistar,,Telefonía fija,16,2007,Líneas,,,,,98715.0,0.0,25.4,2007,2007-01-01|Movistar|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Movistar,,Telefonía móvil,21,2007,Líneas,,,,,89429.0,0.0,23.0,2007,2007-01-01|Movistar|Telefonía móvil
2007-01-01,Albacete,Castilla - La Mancha,Otros,,Banda ancha fija,4,2007,Líneas,Líneas banda ancha HFC,,,,25219.0,0.0,6.5,2007,2007-01-01|Otros|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Otros,,Telefonía fija,17,2007,Líneas,,,,,36232.0,0.0,9.3,2007,2007-01-01|Otros|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Orange,,Banda ancha fija,5,2007,Líneas,Líneas banda ancha xDSL,,,,4021.0,0.0,1.0,2007,2007-01-01|Orange|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Orange,,Telefonía fija,18,2007,Líneas,,,,,392.0,0.0,0.1,2007,2007-01-01|Orange|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Orange,,Telefonía móvil,22,2007,Líneas,,,,,47032.0,0.0,12.1,2007,2007-01-01|Orange|Telefonía móvil
2007-01-01,Albacete,Castilla - La Mancha,Otros,,Banda ancha fija,6,2007,Líneas,Líneas banda ancha xDSL,,,,1.0,0.0,0.0,2007,2007-01-01|Otros|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Resto,,Banda ancha fija,24,6021,Líneas,Líneas banda ancha HFC,,,,3208.0,0.0,0.8,2007,2007-01-01|Resto|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Resto,,Telefonía fija,19,2007,Líneas,,,,,2517.0,0.0,0.6,2007,2007-01-01|Resto|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Resto,,Telefonía móvil,23,2007,Líneas,,,,,1499.0,0.0,0.4,2007,2007-01-01|Resto|Telefonía móvil
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,,Banda ancha fija,10,2007,Líneas,Líneas banda ancha xDSL,,,,1554.0,0.0,0.4,2007,2007-01-01|Vodafone|Banda ancha fija
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,,Telefonía fija,20,2007,Líneas,,,,,1967.0,0.0,0.5,2007,2007-01-01|Vodafone|Telefonía fija
2007-01-01,Albacete,Castilla - La Mancha,Vodafone,,Telefonía móvil,24,2007,Líneas,,,,,93572.0,0.0,24.0,2007,2007-01-01|Vodafone|Telefonía móvil
2007-01-01,Albacete,Castilla - La Mancha,Nan,Accesos instalados FTTH y FTTN,Accesos instalados,1,2007,Nº de accesos  por tipo de acceso,,,,,3249.0,0.0,0.8,2007,2007-01-01|Nan|Accesos instalados
2007-01-01,Albacete,Castilla - La Mancha,Nan,,Estaciones Base,36,6021,Nº de estaciones base en redes de acceso móvil,,Estaciones base GPRS,,,0.0,559.0,0.0,2007,2007-01-01|Nan|Estaciones Base
2007-01-01,Albacete,Castilla - La Mancha,Nan,,Servicios audiovisuales,14,2007,Abonados,,,,,36720.0,0.0,9.4,2007,2007-01-01|Nan|Servicios audiovisuales
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,,Banda ancha fija,53,4014,Líneas,Líneas banda ancha otras tecnologías,,,,6984.0,0.0,0.4,2007,2007-01-01|Otros|Banda ancha fija
2007-01-01,Alicante/Alacant,Comunitat Valenciana,Otros,,Telefonía fija,41,2007,Líneas,,,,,5528.0,0.0,0.3,2007,2007-01-01|Otros|Telefonía fija
