trimestre,anno,operador,valor,tri_ingresos_total_trimestre,tri_cuota_ingresos_trimestre,num_trim,inf_bam_lineas,inf_bam_trafico_datos,inf_estaciones_base,inf_nodos_radio,men_portab_moviles,men_baf_lineas_media,an_gen_ingresos_minorista,an_gen_empleados,an_gen_inversiones,an_merc_baf_lineas,an_merc_mov_lineas,an_merc_bam_lineas,an_merc_mov_clientes,prov_baf_lineas_total,prov_baf_pen_media,prov_baf_pen_std,log_valor,valor_lag1,valor_lag4,arpu_mov_anual,trafico_datos_por_linea_bam
2010T1,2010,Digi,4.44,8025.99,0.0005532027824604815,1,0.0,0.0,0.0,0.0,442.0,0.0,26.28,34.0,0.16,0.0,186174.0,0.0,0.0,0.0,0.0,0.0,1.6937790608678513,0.0,0.0,0.0,0.0
2010T2,2010,Digi,6.24,8244.29,0.0007568874942535985,2,0.0,0.0,0.0,0.0,2048.0,0.0,26.28,34.0,0.16,0.0,186174.0,0.0,0.0,0.0,0.0,0.0,1.979621206397625,4.44,0.0,0.0,0.0
2010T3,2010,Digi,6.75,8061.93,0.0008372684952610603,3,0.0,0.0,0.0,0.0,906.0,0.0,26.28,34.0,0.16,0.0,186174.0,0.0,0.0,0.0,0.0,0.0,2.0476928433652555,6.24,0.0,0.0,0.0
2010T4,2010,Digi,8.75,8281.970000000001,0.0010565119168507008,4,0.0,0.0,0.0,0.0,1432.0,0.0,26.28,34.0,0.16,0.0,186174.0,0.0,0.0,0.0,0.0,0.0,2.277267285009756,6.75,0.0,0.0,0.0
2011T1,2011,Digi,9.53,7842.34,0.001215198524930059,1,0.0,0.0,0.0,0.0,1783.0,0.0,44.37,52.0,0.07,0.0,263339.0,4335.0,0.0,0.0,0.0,0.0,2.354228326145884,8.75,4.44,0.0,0.0
2011T2,2011,Digi,11.7,7893.9,0.0014821571086535172,2,0.0,0.0,0.0,0.0,1962.0,0.0,44.37,52.0,0.07,0.0,263339.0,4335.0,0.0,0.0,0.0,0.0,2.5416019934645457,9.53,6.24,0.0,0.0
2011T3,2011,Digi,11.43,7678.09,0.0014886514745203559,3,0.0,0.0,0.0,0.0,1633.0,0.0,44.37,52.0,0.07,0.0,263339.0,4335.0,0.0,0.0,0.0,0.0,2.5201129055226197,11.7,6.75,0.0,0.0
2011T4,2011,Digi,11.66,7857.62,0.001483909886199638,4,0.0,0.0,0.0,0.0,1468.0,0.0,44.37,52.0,0.07,0.0,263339.0,4335.0,0.0,0.0,0.0,0.0,2.5384474167160302,11.43,8.75,0.0,0.0
2012T1,2012,Digi,10.79,7294.14,0.0014792696603026538,1,0.0,0.0,0.0,0.0,2529.0,0.0,45.21,60.0,0.35,0.0,291757.0,48496.0,0.0,0.0,0.0,0.0,2.4672517145492794,11.66,9.53,0.0,0.0
2012T2,2012,Digi,11.89,7156.88,0.001661338460334671,2,0.0,0.0,0.0,0.0,3209.0,0.0,45.21,60.0,0.35,0.0,291757.0,48496.0,0.0,0.0,0.0,0.0,2.556451816951096,10.79,11.7,0.0,0.0
2012T3,2012,Digi,11.14,6903.05,0.001613779416344949,3,0.0,0.0,0.0,0.0,3754.0,0.0,45.21,60.0,0.35,0.0,291757.0,48496.0,0.0,0.0,0.0,0.0,2.4965057856313524,11.89,11.43,0.0,0.0
2012T4,2012,Digi,11.39,7082.76,0.0016081301639473877,4,0.0,0.0,0.0,0.0,5026.0,0.0,45.21,60.0,0.35,0.0,291757.0,48496.0,0.0,0.0,0.0,0.0,2.516889695641051,11.14,11.66,0.0,0.0
2013T1,2013,Digi,10.32,6534.01,0.0015794282530941948,1,0.0,0.0,0.0,0.0,6240.0,0.0,43.2,71.0,0.02,0.0,379507.0,134781.0,0.0,0.0,0.0,0.0,2.4265710727750367,11.39,10.79,0.0,0.0
2013T2,2013,Digi,10.99,6664.99,0.001648914702047565,2,0.0,0.0,0.0,0.0,7126.0,0.0,43.2,71.0,0.02,0.0,379507.0,134781.0,0.0,0.0,0.0,0.0,2.4840729690394228,10.32,11.89,0.0,0.0
2013T3,2013,Digi,10.74,6451.23,0.0016647988058091248,3,0.0,0.0,0.0,0.0,11022.0,0.0,43.2,71.0,0.02,0.0,379507.0,134781.0,0.0,0.0,0.0,0.0,2.4630018143999504,10.99,11.14,0.0,0.0
2013T4,2013,Digi,11.24,6742.71,0.0016669855295571069,4,0.0,0.0,0.0,0.0,15063.0,0.0,43.2,71.0,0.02,0.0,379507.0,134781.0,0.0,0.0,0.0,0.0,2.50470927708418,10.74,11.39,0.0,0.0
2014T1,2014,Digi,10.94,6190.26,0.0017672924885222914,1,0.0,0.0,0.0,0.0,17042.0,0.0,48.41,83.0,0.16,0.0,542494.0,235239.0,0.0,0.0,0.0,0.0,2.479894107964456,11.24,10.32,0.0,0.0
2014T2,2014,Digi,11.4,6162.58,0.0018498745655228818,2,0.0,0.0,0.0,0.0,19233.0,0.0,48.41,83.0,0.16,0.0,542494.0,235239.0,0.0,0.0,0.0,0.0,2.517696472610991,10.94,10.99,0.0,0.0
2014T3,2014,Digi,12.51,5944.42,0.0021044946353050422,3,0.0,0.0,0.0,0.0,17556.0,0.0,48.41,83.0,0.16,0.0,542494.0,235239.0,0.0,0.0,0.0,0.0,2.6034301519721073,11.4,10.74,0.0,0.0
2014T4,2014,Digi,13.66,6359.17,0.0021480790732123847,4,0.0,0.0,0.0,0.0,19031.0,0.0,48.41,83.0,0.16,0.0,542494.0,235239.0,0.0,0.0,0.0,0.0,2.6851226964585053,12.51,11.24,0.0,0.0
2015T1,2015,Digi,14.13,5959.72,0.0023709167544783984,1,0.0,0.0,0.0,0.0,18425.0,0.0,65.46,102.0,0.22,0.0,634117.0,304779.0,0.0,0.0,0.0,0.0,2.7166795278002644,13.66,10.94,0.0,0.0
2015T2,2015,Digi,16.18,6123.11,0.0026424480370269357,2,0.0,0.0,0.0,0.0,15469.0,0.0,65.46,102.0,0.22,0.0,634117.0,304779.0,0.0,0.0,0.0,0.0,2.8437459165561094,14.13,11.4,0.0,0.0
2015T3,2015,Digi,16.98,6006.46,0.002826956310372499,3,0.0,0.0,0.0,0.0,14908.0,0.0,65.46,102.0,0.22,0.0,634117.0,304779.0,0.0,0.0,0.0,0.0,2.8892600290434745,16.18,12.51,0.0,0.0
2015T4,2015,Digi,17.67,6229.639999999999,0.0028364399869013302,4,0.0,0.0,0.0,0.0,15551.0,0.0,65.46,102.0,0.22,0.0,634117.0,304779.0,0.0,0.0,0.0,0.0,2.9269179575536315,16.98,13.66,0.0,0.0
2016T1,2016,Digi,17.77,5935.200000000001,0.002994001887046771,1,0.0,0.0,0.0,0.0,16124.0,0.0,72.81,123.0,0.7,0.0,670166.0,332224.0,0.0,0.0,0.0,0.0,2.9322598505984176,17.67,14.13,0.0,0.0
2016T2,2016,Digi,18.69,6136.7,0.003045610833183959,2,0.0,0.0,0.0,0.0,15648.0,0.0,72.81,123.0,0.7,0.0,670166.0,332224.0,0.0,0.0,0.0,0.0,2.9801108926510342,17.77,16.18,0.0,0.0
2016T3,2016,Digi,18.28,6036.61,0.0030281896627411746,3,0.0,0.0,0.0,0.0,14838.0,0.0,72.81,123.0,0.7,0.0,670166.0,332224.0,0.0,0.0,0.0,0.0,2.9590682891823996,18.69,16.98,0.0,0.0
