_id,trimestre,pais,tipo_de_mercado,servicio,concepto,operador,tipo_de_ingreso,tipo_de_paquete,unidades,ingresos,ingresos_por_operador,empleados_por_operador,paquetes
1,2005T1,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,973.0,
2,2005T1,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,38439.0,
3,2005T1,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4352.0,
4,2005T1,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,3115.0,
5,2005T1,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,15562.0,
6,2005T1,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,9346.0,
7,2005T1,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,1942.0,
8,2005T1,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4480.0,
9,2005T1,España,Servicio mayorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,898.45,,
10,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Alquiler de circuitos,N/A,Millones de euros,142.52,,,
11,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Banda ancha fija mayorista,N/A,Millones de euros,143.01,,,
12,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión fija,N/A,Millones de euros,308.57,,,
13,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión móvil,N/A,Millones de euros,921.31,,,
14,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Otros servicios mayoristas,N/A,Millones de euros,91.84,,,
15,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,45.2,,,
16,2005T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,57.99,,,
17,2005T1,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,225.78,,
18,2005T1,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,263.91,,
19,2005T1,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,322.28,,
20,2005T1,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4078.54,,
21,2005T1,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,481.21,,,
22,2005T1,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,63.18,,,
